Loyalty Number,Country,Province,City,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month
100001,Canada,British Columbia,Burnaby,Male,High School or Below,43504,Single,Star,817.93,Standard,2018,10,,
100002,United States,,Chicago,Female,High School or Below,51228,Married,Star,2554.22,Standard,2014,6,,
100003,Canada,British Columbia,Burnaby,Male,High School or Below,50045,Married,Star,3524.35,Standard,2014,8,,
100004,Canada,Manitoba,Winnipeg,Female,College,58676,Divorced,Star,3187.7,Standard,2012,6,,
100005,Canada,Ontario,Toronto,Female,High School or Below,53435,Married,Aurora,2683.95,2018 Promotion,2018,4,2017.0,10.0
100006,Canada,British Columbia,Surrey,Female,College,49594,Divorced,Aurora,1355.68,Standard,2015,1,,
100007,Canada,Ontario,Mississauga,Male,Bachelor,78843,Married,Star,560.88,Standard,2016,8,,
100008,Canada,Alberta,Calgary,Male,Bachelor,112069,Single,Star,1103.33,Standard,2018,1,,
100009,Canada,Alberta,Edmonton,Female,Master,125599,Single,Star,3596.98,Standard,2014,12,,
100010,Canada,Quebec,Laval,Female,Bachelor,94498,Married,Star,340.64,2018 Promotion,2018,3,2018.0,10.0
100011,Canada,Quebec,Laval,Male,High School or Below,38817,Divorced,Star,12505.84,Standard,2015,7,,
100012,United States,,Manchester,Male,Bachelor,58247,Single,Star,1989.41,Standard,2015,8,,
100013,Canada,Quebec,Montreal,Male,Bachelor,79133,Divorced,Star,1437.06,Standard,2014,3,,
100014,Canada,New Brunswick,Fredericton,Male,College,63955,Single,Aurora,10350.95,Standard,2018,8,,
100015,Canada,British Columbia,Vancouver,Female,Bachelor,97429,Married,Nova,1320.77,Standard,2015,3,2018.0,5.0
100016,Canada,British Columbia,Victoria,Male,Master,88407,Married,Star,2032.58,Standard,2017,2,,
100017,Canada,Saskatchewan,Regina,Female,High School or Below,46440,Single,Nova,1976.23,Standard,2012,8,,
100018,Canada,British Columbia,Victoria,Male,Bachelor,78838,Single,Star,2130.03,Standard,2014,6,,
100019,Canada,Alberta,Lethbridge,Male,Master,107243,Married,Star,2194.79,2018 Promotion,2018,4,,
100020,Canada,Ontario,Mississauga,Male,Master,112026,Married,Nova,1254.3,Standard,2017,9,,
100021,Canada,Ontario,Toronto,Female,College,57572,Single,Nova,2437.83,2018 Promotion,2018,4,,
100022,Canada,British Columbia,Burnaby,Female,Master,95788,Married,Nova,1400.11,Standard,2014,10,,
100023,Canada,Alberta,Lethbridge,Female,High School or Below,43849,Married,Star,2139.22,Standard,2016,11,,
100024,Canada,Quebec,Montreal,Female,Master,113081,Married,Star,780.03,2018 Promotion,2018,4,2017.0,11.0
100025,Canada,Quebec,Quebec City,Male,College,64451,Married,Star,4130.0,Standard,2013,7,,
100026,Canada,New Brunswick,Fredericton,Male,High School or Below,38042,Married,Star,2669.73,Standard,2016,10,,
100027,Canada,Quebec,Quebec City,Male,High School or Below,36818,Married,Star,952.15,Standard,2012,3,,
100028,Canada,British Columbia,Victoria,Male,Bachelor,94749,Single,Star,641.07,2018 Promotion,2018,4,2017.0,9.0
100029,Canada,Ontario,Hamilton,Female,Bachelor,65933,Married,Star,1390.87,2018 Promotion,2018,3,,
100030,Canada,Ontario,Toronto,Male,Bachelor,74560,Single,Star,1029.97,Standard,2013,3,,
100031,Canada,Ontario,Hamilton,Male,Bachelor,80084,Married,Star,1009.36,Standard,2018,11,,
100032,Canada,Ontario,Mississauga,Male,Bachelor,83023,Single,Star,2325.59,Standard,2015,6,,
100033,Canada,Quebec,Laval,Male,Doctor,139032,Married,Aurora,7043.44,Standard,2017,6,2018.0,11.0
100034,United States,,New York,Female,College,65521,Married,Nova,2452.81,Standard,2012,4,,
100035,United States,,London,Male,College,72947,Divorced,Nova,2880.42,Standard,2017,4,2017.0,4.0
100036,Canada,British Columbia,Surrey,Male,Bachelor,81713,Married,Nova,1472.0,Standard,2017,2,,
100037,Canada,Ontario,Mississauga,Female,College,52262,Married,Star,5463.27,Standard,2016,9,,
100038,Canada,British Columbia,Victoria,Male,College,62323,Married,Nova,3340.72,Standard,2018,1,,
100039,Canada,Ontario,Mississauga,Female,Master,100767,Married,Nova,1138.88,Standard,2013,9,,
100040,Canada,Ontario,London,Female,College,56255,Married,Star,1247.45,Standard,2016,9,,
100041,Canada,Ontario,Ottawa,Female,Bachelor,91580,Single,Nova,2599.42,Standard,2013,6,,
100042,Canada,Quebec,Montreal,Male,College,50104,Married,Star,3659.78,Standard,2014,6,,
100043,Canada,Alberta,Lethbridge,Female,Master,96928,Married,Star,902.6,Standard,2016,4,,
100044,Canada,British Columbia,Vancouver,Female,College,58363,Married,Star,5580.38,Standard,2016,10,,
100045,Canada,Nova Scotia,Dartmouth,Female,Bachelor,92755,Married,Aurora,3963.78,Standard,2018,3,,
100046,Canada,Ontario,Hamilton,Male,Master,114210,Married,Star,594.55,Standard,2012,10,,
100047,Canada,Quebec,Quebec City,Male,College,68173,Married,Nova,13931.15,Standard,2015,4,,
100048,Canada,Saskatchewan,Regina,Female,High School or Below,40375,Married,Nova,1502.44,Standard,2015,8,,
100049,Canada,Quebec,Quebec City,Female,Bachelor,103955,Divorced,Aurora,6394.07,Standard,2015,7,,
100050,Canada,Quebec,Gatineau,Female,Bachelor,78525,Married,Aurora,17791.2,Standard,2017,5,,
100051,United States,,New York,Female,Bachelor,89877,Divorced,Star,2718.69,Standard,2018,7,,
